method,batch_size,batch_idx,wall_s,out_tokens,tok_per_s
baseline,2,1,5.4622,1024,187.47
baseline,2,2,5.4239,1024,188.79
baseline,2,3,5.4243,1024,188.78
baseline,2,4,5.4377,1024,188.31
baseline,2,5,5.4379,1024,188.31
baseline,2,6,5.4402,1024,188.23
baseline,2,7,5.4368,1024,188.35
baseline,2,8,5.4363,1024,188.36
baseline,2,9,5.4355,1024,188.39
baseline,2,10,5.4245,1024,188.77
baseline,2,11,5.4342,1024,188.44
baseline,2,12,5.4410,1024,188.20
baseline,2,13,5.4354,1024,188.39
baseline,2,14,5.4379,1024,188.31
baseline,2,15,5.4363,1024,188.36
baseline,2,16,5.4260,1024,188.72
baseline,2,17,5.4375,1024,188.32
baseline,2,18,5.4243,1024,188.78
baseline,2,19,5.4225,1024,188.84
baseline,2,20,5.4233,1024,188.81
baseline,2,21,5.4455,1024,188.04
baseline,2,22,5.4355,1024,188.39
baseline,2,23,5.4247,1024,188.77
baseline,2,24,5.4332,1024,188.47
baseline,2,25,5.4290,903,166.33
baseline,2,26,5.4489,1024,187.93
baseline,2,27,5.4448,1024,188.07
baseline,2,28,5.4452,999,183.46
baseline,2,29,5.4449,1024,188.06
baseline,2,30,5.4359,1024,188.38
baseline,2,31,5.4253,1024,188.75
baseline,2,32,5.4269,1024,188.69
baseline,2,33,5.4251,1024,188.75
baseline,2,34,5.4324,1024,188.50
baseline,2,35,5.4228,1024,188.83
baseline,2,36,5.4323,1024,188.50
baseline,2,37,5.4209,1024,188.90
baseline,2,38,5.4227,1024,188.84
baseline,2,39,5.4316,1024,188.53
