method,batch_size,batch_idx,wall_s,out_tokens,tok_per_s
eagle3,4,1,5.6532,2048,362.27
eagle3,4,2,5.4346,2048,376.84
eagle3,4,3,5.7639,2048,355.32
eagle3,4,4,5.9870,2048,342.07
eagle3,4,5,4.5771,2048,447.45
eagle3,4,6,4.0256,2048,508.74
eagle3,4,7,4.8386,2048,423.26
eagle3,4,8,4.9233,2048,415.98
eagle3,4,9,4.7624,2048,430.04
eagle3,4,10,4.9838,2048,410.93
eagle3,4,11,4.6622,2048,439.28
eagle3,4,12,4.3140,1940,449.70
eagle3,4,13,5.6393,2048,363.16
eagle3,4,14,4.8681,2011,413.09
eagle3,4,15,5.6213,2048,364.33
eagle3,4,16,5.5997,2048,365.74
eagle3,4,17,5.3761,2048,380.95
eagle3,4,18,5.9817,2048,342.38
eagle3,4,19,5.9054,2048,346.80
