method,batch_size,batch_idx,wall_s,out_tokens,tok_per_s
ngram,4,1,6.9114,2048,296.32
ngram,4,2,6.6578,2048,307.61
ngram,4,3,7.1097,2048,288.06
ngram,4,4,6.8854,2048,297.44
ngram,4,5,5.4226,2048,377.68
ngram,4,6,5.1152,2048,400.38
ngram,4,7,6.2222,2048,329.14
ngram,4,8,5.6306,2048,363.73
ngram,4,9,5.9932,2048,341.72
ngram,4,10,6.6172,2048,309.50
ngram,4,11,5.9689,2048,343.11
ngram,4,12,5.6993,1940,340.39
ngram,4,13,6.9366,2048,295.25
ngram,4,14,6.6349,2048,308.67
ngram,4,15,6.6766,2048,306.74
ngram,4,16,6.4122,2048,319.39
ngram,4,17,6.0018,2048,341.23
ngram,4,18,6.0443,2048,338.83
ngram,4,19,5.1295,2048,399.26
